Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_29 21:15:34.588;0;O;1;2;4213;4;ERR;f6218b60
21_04_29 21:15:37.172;2;O;1;2;4213;4;ERR;f9218b60
21_04_29 21:15:39.064;4;O;1;2;4213;4;ERR;fb218b60
21_04_29 21:15:41.785;6;O;1;2;4213;4;ERR;fd218b60
21_04_29 21:15:44.838;8;O;1;2;4213;4;ERR;00228b60
21_04_29 21:15:46.988;10;O;1;2;4213;4;ERR;02228b60
21_04_29 21:15:50.500;12;O;1;2;4213;4;ERR;06228b60
21_04_29 21:15:53.018;14;O;1;2;4213;4;ERR;09228b60
21_04_29 21:15:55.744;16;O;1;2;4213;4;ERR;0b228b60
21_04_29 21:15:58.372;18;O;1;2;4213;4;ERR;0e228b60
21_04_29 21:16:01.088;20;O;1;2;4213;4;ERR;11228b60
21_04_29 21:16:10.725;22;O;1;2;4213;4;ERR;1a228b60
21_04_29 21:16:13.252;24;O;1;2;4213;4;ERR;1d228b60
21_04_29 21:16:15.598;26;O;1;2;4213;4;ERR;1f228b60
21_04_29 21:16:29.003;28;O;1;2;4213;4;ERR;2d228b60
21_04_29 21:16:30.682;31;I;2;1; 118;2;;1342
21_04_29 21:16:35.500;0;O;1;2;  71;274;ERR;080041228b60710001000400040001001e0042228b60770001000400040001001e0043228b60750001000400040001001e004a228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054c228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a004e228b60600a01000500000050228b602a0001000400000053228b602a00010004000000
21_04_29 21:16:39.827;33;O;1;2;  71;274;ERR;080045228b60710001000400040001001e0046228b60770001000400040001001e0047228b60750001000400040001001e004e228b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000550228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0052228b60600a01000500000054228b602a0001000400000057228b602a00010004000000
21_04_29 21:16:44.916;35;O;1;2;  71;274;ERR;08004a228b60710001000400040001001e004b228b60770001000400040001001e004c228b60750001000400040001001e0053228b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000555228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0057228b60600a01000500000059228b602a000100040000005c228b602a00010004000000
21_04_29 21:16:49.801;37;O;1;2;  71;274;ERR;08004f228b60710001000400040001001e0050228b60770001000400040001001e0051228b60750001000400040001001e0058228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055a228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a005c228b60600a0100050000005e228b602a0001000400000061228b602a00010004000000
21_04_29 21:16:53.688;39;O;1;2;  71;274;ERR;080053228b60710001000400040001001e0054228b60770001000400040001001e0055228b60750001000400040001001e005c228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055e228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0060228b60600a01000500000062228b602a0001000400000065228b602a00010004000000
21_04_29 21:16:57.589;41;O;1;2;  71;274;ERR;080057228b60710001000400040001001e0058228b60770001000400040001001e0059228b60750001000400040001001e0060228b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000562228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0064228b60600a01000500000066228b602a0001000400000069228b602a00010004000000
21_04_29 21:17:12.921;44;I;2;1;4216;66;;a7131d15d815740000000000190000001c0000000000070006000600070000200000e41e07a9000055228b605a040d0c018a1e19720e56228b607cfa01001a00fc1e
21_04_29 21:17:12.921;45;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_29 21:17:21.198;43;O;1;2;  71;274;ERR;08006f228b60710001000400040001001e0070228b60770001000400040001001e0071228b60750001000400040001001e0078228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057a228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a007c228b60600a0100050000007e228b602a0001000400000081228b602a00010004000000
21_04_29 21:17:24.881;47;O;1;2;  71;274;ERR;080072228b60710001000400040001001e0073228b60770001000400040001001e0074228b60750001000400040001001e007b228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057d228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a007f228b60600a01000500000081228b602a0001000400000084228b602a00010004000000
